c_total,Cd,Pb,Mod1,Mod2,Mod3
0.0,0.0,0.0,-0.9992158537639058,-0.7142075422291081,-0.4149114624759065
0.0,0.0,0.0,-0.99079956365468,-0.714372895863183,-0.23833527115476671
0.0,0.0,0.0,-0.9905393691923259,-0.7141248654120708,0.020788049636648404
14.0,0.0,14.0,-1.0012473720661326,-0.7135461276928089,0.9454652311942314
14.0,0.0,14.0,-1.0137266987798121,-0.7141248654120708,0.5696310543839385
14.0,0.0,14.0,-0.9988155545910531,-0.7136288045098462,0.6918671755512789
14.0,2.8,11.2,-1.0156981722061111,-0.7147036031313326,0.03149013978907606
14.0,2.8,11.2,-1.0130461901859626,-0.7132980972416967,0.2760619364507562
14.0,2.8,11.2,-1.015347910429865,-0.7150343103994822,0.45049770974141046
14.0,5.6,8.4,-0.9998763473991125,-0.7132980972416967,-0.15694960883281683
14.0,5.6,8.4,-0.9945423609208518,-0.7156957249357815,-0.0302999125018396
14.0,5.6,8.4,-0.9887680453524532,-0.7142075422291081,0.7922013447787674
14.0,8.4,5.6,-0.9036844561626356,-0.7130500667905845,1.47627231036681
14.0,8.4,5.6,-0.9108598188360182,-0.7142902190461455,0.3893547605759904
14.0,8.4,5.6,-0.9090584725581816,-0.7141248654120708,0.8584547493968195
14.0,11.2,2.8,-0.9352180235040982,-0.713380774058734,0.2550559734538982
14.0,11.2,2.8,-0.9290434087628471,-0.7126366827053974,0.9377663632396167
14.0,11.2,2.8,-0.9112200880915855,-0.7123059754372477,1.0701072485973888
14.0,14.0,0.0,-0.8642750025952983,-0.7128020363394723,-0.5792590639639622
14.0,14.0,0.0,-0.7490188632517168,-0.7011446051371977,-0.32859786096748994
14.0,14.0,0.0,-0.8177402237511849,-0.6895698507519606,-0.1787851912213359
20.0,0.0,20.0,-0.9917402667108837,-0.7115618840839111,0.6486108204700713
20.0,0.0,20.0,-0.9823332361488478,-0.7126366827053974,0.5070611598648614
20.0,0.0,20.0,-0.98189290705871,-0.7127193595224348,0.7491938755150581
20.0,4.0,16.0,-0.9991558088879778,-0.712967389973547,0.882497119367157
20.0,4.0,16.0,-1.000817050455316,-0.7126366827053974,1.0322600119498113
20.0,4.0,16.0,-0.9893684941117321,-0.7132154204246592,1.3589807207737696
20.0,8.0,12.0,-0.9692534606758895,-0.7130500667905845,0.18988107404500543
